,acc_account_id,acc_frequency,acc_date,loan_loan_id,loan_date,loan_amount,loan_duration,loan_payments,loan_status,trans_datediff,trans_last_trans,trans_n_trans,trans_sum_amount,trans_avg_amount,trans_credit,trans_withdrawal,trans_household_amount,trans_insurance_amount,trans_interest_amount,trans_loan_amount,trans_pension_amount,trans_sanction_amount,trans_statement_amount,trans_int_rate,disp_disp_id,disp_owner,cc_card_id,cc_type,cc_date,cc_owner,dist_dist_name,dist_dist_region,dist_nb_habitants,dist_ratio_urban,dist_avg_salary,dist_unemp_95,dist_unemp_96,dist_nb_entrepreneurs,dist_crimes_95,dist_crimes_96,cust_client_id,cust_g,cust_age,cust_age_group,ord_amount,ord_leasing,ord_hh_payment,ord_loan_payment,ord_insr_payment,cc_create_time,loan_create_time
10,793,Monthly Issuance,1993-01-03,,,,,,,4.411290322580645,1998-12-31 00:00:00.000000,497,484704.3999999994,975.260362173037,252050.2,232654.20000000024,0.0,0.0,6378.2,0.0,0.0,0.0,978.2000000000011,0.013158948010375,950,1,,,,,Pardubice,east Bohemia,162580,72.8,9538,1.51,1.81,111,6079,5410,950,F,34,30,2267.0,0.0,1212.0,0.0,851.0,,
11,793,Monthly Issuance,1993-01-03,,,,,,,4.411290322580645,1998-12-31 00:00:00.000000,497,484704.3999999994,975.260362173037,252050.2,232654.20000000024,0.0,0.0,6378.2,0.0,0.0,0.0,978.2000000000011,0.013158948010375,951,0,,,,,Pardubice,east Bohemia,162580,72.8,9538,1.51,1.81,111,6079,5410,951,M,39,30,2267.0,0.0,1212.0,0.0,851.0,,
12,2484,Monthly Issuance,1993-01-03,,,,,,,3.6046128500823724,1998-12-31 00:00:00.000000,608,2301899.2000000025,3786.018421052636,1172771.9999999998,1129127.1999999995,156981.0,40732.0,9515.999999999996,0.0,0.0,0.0,978.2000000000011,0.004133977717182397,2999,1,,,,,Ostrava - mesto,north Moravia,323870,100.0,10673,4.75,5.44,100,18782,18347,2999,F,20,20,4870.0,0.0,2343.0,0.0,599.0,,
13,1695,Monthly Issuance,1993-01-03,,,,,,,4.777292576419214,1998-12-31 00:00:00.000000,459,6288971.999999997,13701.464052287576,3197934.6000000006,3091037.4000000036,864822.0,0.0,17558.600000000002,0.0,0.0,0.0,861.4000000000009,0.00279196663620064,2058,1,321.0,gold,1998-08-16,1.0,Sumperk,north Moravia,127369,51.2,8369,4.73,5.88,107,3736,2807,2058,M,28,20,14658.0,0.0,14658.0,0.0,0.0,2051.0,
14,1726,Monthly Issuance,1993-01-03,,,,,,,3.6405990016638934,1998-12-31 00:00:00.000000,602,2231006.5000000033,3705.990863787381,1132625.2999999996,1098381.1999999993,297346.0,4958.0,8705.300000000003,0.0,0.0,0.0,978.2000000000011,0.003901960841440843,2093,1,,,,,Rychnov nad Kneznou,east Bohemia,78955,59.0,9060,1.78,2.44,124,1655,1717,2093,M,29,20,6709.0,0.0,4438.0,0.0,74.0,,
15,1726,Monthly Issuance,1993-01-03,,,,,,,3.6405990016638934,1998-12-31 00:00:00.000000,602,2231006.5000000033,3705.990863787381,1132625.2999999996,1098381.1999999993,297346.0,4958.0,8705.300000000003,0.0,0.0,0.0,978.2000000000011,0.003901960841440843,2094,0,,,,,Rychnov nad Kneznou,east Bohemia,78955,59.0,9060,1.78,2.44,124,1655,1717,2094,F,24,20,6709.0,0.0,4438.0,0.0,74.0,,
16,2881,Monthly Issuance,1993-01-04,,,,,,,5.194774346793349,1998-12-31 00:00:00.000000,422,1392674.0000000012,3300.1753554502397,722642.7999999998,670031.1999999991,310813.0,0.0,11546.800000000003,0.0,0.0,0.0,978.2000000000011,0.008291100429820614,3483,1,,,,,Karvina,north Moravia,285387,89.9,10177,6.63,7.75,81,9878,10108,3483,M,59,50,4639.0,0.0,4639.0,0.0,0.0,,
17,2357,Monthly Issuance,1993-01-04,,,,,,,6.143258426966292,1998-12-31 00:00:00.000000,357,903978.999999999,2532.154061624647,471137.79999999993,432841.1999999995,259223.0,0.0,7089.8,0.0,463248.0,0.0,978.2000000000011,0.007842881305871052,2849,1,,,,,Prachatice,south Bohemia,51428,52.7,8402,3.13,3.98,120,999,1099,2849,M,71,70,3869.0,0.0,3869.0,0.0,0.0,,
18,2177,Monthly Issuance,1993-01-04,,,,,,,6.302593659942363,1998-12-31 00:00:00.000000,348,719223.3999999989,2066.7339080459737,375841.1999999999,343382.19999999984,215424.0,0.0,6185.200000000002,0.0,368856.0,0.0,978.2000000000011,0.008599831429288884,2636,1,,,,,Uherske Hradiste,south Moravia,145688,40.7,8544,1.29,1.86,109,2719,2906,2636,M,81,80,3168.0,0.0,3168.0,0.0,0.0,,
19,485,Issue after transaction,1993-01-04,,,,,,,3.620860927152318,1998-12-31 00:00:00.000000,605,5547435.100000002,9169.314214876036,2813244.0999999996,2734191.0,519470.0,250040.0,12569.1,0.0,0.0,0.0,6900.0,0.002265749805707505,583,1,,,,,Kutna Hora,central Bohemia,77963,51.5,8546,2.95,4.02,126,2640,3120,583,F,35,30,15213.6,2629.6,7421.0,0.0,3572.0,,
20,652,Monthly Issuance,1993-01-05,,,,,,,5.478696741854637,1998-12-31 00:00:00.000000,400,2218702.500000003,5546.756250000007,1143576.2999999998,1075126.1999999993,516188.0,0.0,13404.299999999997,0.0,0.0,0.0,978.2000000000011,0.006041503987127603,782,1,,,,,Tabor,south Bohemia,103347,67.0,9104,1.51,2.07,123,2299,2354,782,F,36,30,7591.0,0.0,7591.0,0.0,0.0,,
21,9635,Monthly Issuance,1993-01-05,,,,,,,5.292978208232445,1998-12-31 00:00:00.000000,414,643982.5999999994,1555.513526570047,325452.0999999999,318530.5,182200.0,0.0,3212.100000000003,0.0,321840.0,62.3,978.2000000000011,0.0049878676846237865,11552,1,,,,,Karvina,north Moravia,285387,89.9,10177,6.63,7.75,81,9878,10108,11860,F,74,70,,,,,,,
22,1844,Monthly Issuance,1993-01-06,,,,,,,6.828125,1998-12-31 00:00:00.000000,321,441437.5999999995,1375.1950155763225,242481.40000000005,198956.20000000024,0.0,0.0,8557.4,0.0,0.0,0.0,978.2000000000011,0.019385299303910697,2236,1,,,,,Chrudim,east Bohemia,105606,53.0,8254,2.79,3.76,97,2166,2325,2236,F,21,20,2161.0,0.0,2161.0,0.0,0.0,,
23,1926,Monthly Issuance,1993-01-06,,,,,,,4.8991031390134525,1998-12-31 00:00:00.000000,447,813970.0999999989,1820.9621923937336,418083.89999999997,395886.1999999996,177081.0,0.0,6037.900000000001,0.0,0.0,0.0,978.2000000000011,0.007417840041053115,2338,1,,,,,Litomerice,north Bohemia,114006,62.3,9065,4.46,5.39,123,4147,4166,2338,F,42,40,3004.0,0.0,2643.0,0.0,0.0,,
24,1926,Monthly Issuance,1993-01-06,,,,,,,4.8991031390134525,1998-12-31 00:00:00.000000,447,813970.0999999989,1820.9621923937336,418083.89999999997,395886.1999999996,177081.0,0.0,6037.900000000001,0.0,0.0,0.0,978.2000000000011,0.007417840041053115,2339,0,,,,,Litomerice,north Bohemia,114006,62.3,9065,4.46,5.39,123,4147,4166,2339,M,43,40,3004.0,0.0,2643.0,0.0,0.0,,
25,2393,Monthly Issuance,1993-01-07,,,,,,,5.2626506024096384,1998-12-31 00:00:00.000000,416,1701185.7000000023,4089.3887019230824,874623.5000000002,826562.199999999,287564.0,0.0,9537.500000000002,0.0,0.0,0.0,978.2000000000011,0.005606383829819395,2889,1,,,,,Praha - vychod,central Bohemia,92084,46.7,10124,0.56,0.54,141,3810,4316,2889,M,56,50,5545.0,1253.0,4292.0,0.0,0.0,,
26,3510,Monthly Issuance,1993-01-07,,,,,,,5.473684210526316,1998-12-31 00:00:00.000000,400,5619323.4,14048.308500000001,2833426.6000000006,2785896.800000004,0.0,0.0,17184.600000000006,0.0,0.0,0.0,846.8000000000009,0.00305812617939021,4238,1,,,,,Usti nad Labem,north Bohemia,118650,85.6,9832,3.32,4.48,114,6445,5471,4238,F,28,20,,,,,,,
27,1276,Monthly Issuance,1993-01-07,,,,,,,3.9709090909090907,1998-12-31 00:00:00.000000,551,1198314.4999999998,2174.79945553539,610557.2999999997,587757.1999999993,261052.0,11323.0,8285.300000000001,0.0,0.0,0.0,978.2000000000011,0.00691412813581076,1540,1,,,,,Liberec,north Bohemia,159617,85.2,9198,3.33,4.28,131,5796,6132,1540,M,62,60,4516.0,0.0,3839.0,0.0,169.0,,
28,1276,Monthly Issuance,1993-01-07,,,,,,,3.9709090909090907,1998-12-31 00:00:00.000000,551,1198314.4999999998,2174.79945553539,610557.2999999997,587757.1999999993,261052.0,11323.0,8285.300000000001,0.0,0.0,0.0,978.2000000000011,0.00691412813581076,1541,0,,,,,Liberec,north Bohemia,159617,85.2,9198,3.33,4.28,131,5796,6132,1541,F,66,60,4516.0,0.0,3839.0,0.0,169.0,,
29,1637,Monthly Issuance,1993-01-08,,,,,,,5.136470588235294,1998-12-31 00:00:00.000000,426,802905.9999999988,1884.7558685445981,418636.7999999999,384269.1999999996,51858.0,0.0,6440.800000000001,0.0,411696.0,0.0,978.2000000000011,0.008021860591401746,1984,1,,,,,Hl.m. Praha,Prague,1204953,100.0,12541,0.29,0.43,167,85677,99107,1984,M,73,70,3343.0,0.0,3343.0,0.0,0.0,,
30,3871,Monthly Issuance,1993-01-08,,,,,,,5.185273159144893,1998-12-31 00:00:00.000000,422,578479.0999999993,1370.803554502368,319109.50000000006,259369.60000000027,10251.0,0.0,9533.5,0.0,309276.0,0.0,963.600000000001,0.01648028424881731,4665,1,,,,,Plzen - mesto,west Bohemia,170449,100.0,10787,2.64,3.09,131,6041,6261,4665,F,73,70,1658.0,0.0,1658.0,0.0,0.0,,
31,3871,Monthly Issuance,1993-01-08,,,,,,,5.185273159144893,1998-12-31 00:00:00.000000,422,578479.0999999993,1370.803554502368,319109.50000000006,259369.60000000027,10251.0,0.0,9533.5,0.0,309276.0,0.0,963.600000000001,0.01648028424881731,4666,0,,,,,Plzen - mesto,west Bohemia,170449,100.0,10787,2.64,3.09,131,6041,6261,4666,M,71,70,1658.0,0.0,1658.0,0.0,0.0,,
32,192,Monthly Issuance,1993-01-08,,,,,,,6.272988505747127,1998-12-31 00:00:00.000000,349,816555.699999999,2339.7011461318025,423251.0999999999,393304.5999999996,240061.0,0.0,6962.1,0.0,415989.0,0.0,963.600000000001,0.008526178924475096,232,1,,,,,Brno - venkov,south Moravia,157042,33.9,8743,1.88,2.43,111,3659,3894,232,F,78,70,3583.0,0.0,3583.0,0.0,0.0,,
33,764,Monthly Issuance,1993-01-08,,,,,,,6.097765363128492,1998-12-31 00:00:00.000000,359,879858.6999999988,2450.859888579384,450675.10000000003,429183.59999999957,158120.0,0.0,6677.0999999999985,0.0,442898.0,0.0,963.600000000001,0.007588832161345916,914,1,,,,,Hl.m. Praha,Prague,1204953,100.0,12541,0.29,0.43,167,85677,99107,914,F,79,70,2360.0,0.0,2360.0,0.0,0.0,,
34,2087,Weekly Issuance,1993-01-08,,,,,,,5.759894459102902,1998-12-31 00:00:00.000000,380,3951956.900000001,10399.886578947371,2006955.9000000001,1945001.0,0.0,0.0,13997.900000000005,0.0,0.0,0.0,2010.0,0.003542017373721865,2530,1,,,,,Melnik,central Bohemia,94725,63.4,9920,2.26,2.87,130,4289,4846,2530,M,49,40,4619.9,4619.9,0.0,0.0,0.0,,
35,2122,Monthly Issuance,1993-01-08,,,,,,,4.654584221748401,1998-12-31 00:00:00.000000,470,5550771.800000001,11810.152765957448,2796288.000000001,2754483.8000000045,521084.0,0.0,16405.000000000007,0.0,0.0,0.0,992.8000000000011,0.002955444862640544,2566,1,,,,,Frydek - Mistek,north Moravia,228848,57.2,9893,4.09,4.72,96,5623,5887,2566,F,36,30,7663.0,0.0,7663.0,0.0,0.0,,
36,3592,Monthly Issuance,1993-01-08,,,,,,,6.2371428571428575,1998-12-31 00:00:00.000000,351,857672.5999999994,2443.5116809116794,439374.3999999999,418298.1999999996,228480.0,0.0,6270.4000000000015,0.0,432504.0,0.0,978.2000000000011,0.007310948256945606,4335,1,,,,,Brno - mesto,south Moravia,387570,100.0,9897,1.60,1.96,140,18721,18696,4335,F,75,70,3360.0,0.0,3360.0,0.0,0.0,,
37,3487,Monthly Issuance,1993-01-08,,,,,,,4.664529914529915,1998-12-31 00:00:00.000000,469,2477471.5000000033,5282.455223880604,1279088.3000000005,1198383.1999999997,21708.0,0.0,15196.300000000001,0.0,0.0,0.0,978.2000000000011,0.006133794071899508,4215,1,,,,,Usti nad Labem,north Bohemia,118650,85.6,9832,3.32,4.48,114,6445,5471,4215,F,47,40,8275.0,0.0,324.0,0.0,0.0,,
38,435,Monthly Issuance,1993-01-08,,,,,,,6.458579881656805,1998-12-31 00:00:00.000000,339,702650.2999999995,2072.7147492625354,364892.7000000002,337757.59999999986,210474.0,0.0,6723.699999999997,0.0,357769.0,0.0,963.600000000001,0.009569055901634144,523,1,,,,,Louny,north Bohemia,85852,59.8,8965,7.08,8.23,104,2653,2822,523,M,77,70,3189.0,0.0,3189.0,0.0,0.0,,
39,1730,Monthly Issuance,1993-01-09,,,,,,,5.881401617250674,1998-12-31 00:00:00.000000,372,907082.3999999986,2438.3935483870932,487122.80000000005,419959.5999999996,132526.0,0.0,11303.800000000001,0.0,474919.0,0.0,963.600000000001,0.012461712408927808,2099,1,,,,,Hl.m. Praha,Prague,1204953,100.0,12541,0.29,0.43,167,85677,99107,2099,M,82,80,1978.0,0.0,1978.0,0.0,0.0,,
40,1493,Monthly Issuance,1993-01-09,,,,,,,5.321951219512195,1998-12-31 00:00:00.000000,411,715203.0999999988,1740.1535279805323,366369.9,348833.19999999984,151688.0,0.0,5521.9,0.0,360648.0,0.0,978.2000000000011,0.007720743939728461,1810,1,,,,,Usti nad Labem,north Bohemia,118650,85.6,9832,3.32,4.48,114,6445,5471,1810,M,80,80,2315.0,0.0,2315.0,0.0,0.0,,
41,374,Monthly Issuance,1993-01-09,,,,,,,5.897297297297297,1998-12-31 00:00:00.000000,371,3577502.200000004,9642.86307277629,1811590.600000001,1765911.600000002,0.0,0.0,13027.599999999999,0.0,0.0,0.0,963.600000000001,0.0036415351470643355,454,1,,,,,Louny,north Bohemia,85852,59.8,8965,7.08,8.23,104,2653,2822,454,F,50,50,,,,,,,
42,2925,Monthly Issuance,1993-01-10,,,,,,,5.6796875,1998-12-31 00:00:00.000000,385,1066435.999999999,2769.963636363634,549561.7999999998,516874.19999999925,292196.0,0.0,7573.800000000001,0.0,0.0,0.0,978.2000000000011,0.007101973301726506,3533,1,,,,,Hl.m. Praha,Prague,1204953,100.0,12541,0.29,0.43,167,85677,99107,3533,F,36,30,4297.0,0.0,4297.0,0.0,0.0,,
43,866,Monthly Issuance,1993-01-10,,,,,,,3.478468899521531,1998-12-31 00:00:00.000000,628,1977944.8000000021,3149.5936305732516,1019249.6000000004,958695.1999999989,31155.0,33768.0,11417.599999999993,0.0,0.0,0.0,978.2000000000011,0.005772456339529789,1044,1,,,,,Nymburk,central Bohemia,81344,55.3,8899,3.39,3.97,149,2987,2487,1044,F,28,20,4851.0,0.0,465.0,0.0,504.0,,
44,1628,Monthly Issuance,1993-01-10,,,,,,,6.589123867069486,1998-12-31 00:00:00.000000,332,607974.5999999993,1831.2487951807207,313906.4,294068.20000000007,190950.0,0.0,5334.400000000001,0.0,307872.0,0.0,978.2000000000011,0.008774050758041548,1973,1,,,,,Prostejov,south Moravia,110643,51.9,8441,3.45,4.48,115,1879,2252,1973,F,68,60,2850.0,0.0,2850.0,0.0,0.0,,
45,2379,Monthly Issuance,1993-01-10,,,,,,,4.506198347107438,1998-12-31 00:00:00.000000,485,835185.399999999,1722.0317525773175,432769.7999999998,402415.5999999995,210540.0,3082.0,6325.800000000003,0.0,0.0,0.0,963.600000000001,0.007574126654991827,2874,1,,,,,Chrudim,east Bohemia,105606,53.0,8254,2.79,3.76,97,2166,2325,2874,M,27,20,3381.0,0.0,3190.0,0.0,46.0,,
46,1979,Monthly Issuance,1993-01-11,,,,,,,6.106442577030812,1998-12-31 00:00:00.000000,358,422198.8999999996,1179.326536312848,220991.30000000005,201207.6000000002,0.0,0.0,5600.300000000001,0.0,0.0,0.0,963.600000000001,0.013264601115730065,2404,1,,,,,Plzen - mesto,west Bohemia,170449,100.0,10787,2.64,3.09,131,6041,6261,2404,F,22,20,2014.0,0.0,2014.0,0.0,0.0,,
47,1979,Monthly Issuance,1993-01-11,,,,,,,6.106442577030812,1998-12-31 00:00:00.000000,358,422198.8999999996,1179.326536312848,220991.30000000005,201207.6000000002,0.0,0.0,5600.300000000001,0.0,0.0,0.0,963.600000000001,0.013264601115730065,2405,0,,,,,Plzen - mesto,west Bohemia,170449,100.0,10787,2.64,3.09,131,6041,6261,2405,M,24,20,2014.0,0.0,2014.0,0.0,0.0,,
48,346,Monthly Issuance,1993-01-11,,,,,,,5.215311004784689,1998-12-31 00:00:00.000000,419,3061569.600000002,7306.84868735084,1556660.9999999995,1504908.600000001,527625.0,0.0,13165.99999999999,0.0,0.0,0.0,963.600000000001,0.0043004085224781375,423,1,,,,,Litomerice,north Bohemia,114006,62.3,9065,4.46,5.39,123,4147,4166,423,M,42,40,7875.0,0.0,7875.0,0.0,0.0,,
49,1338,Monthly Issuance,1993-01-11,,,,,,,3.688663282571912,1998-12-31 00:00:00.000000,592,4791785.700000002,8094.232601351355,2450381.5,2341404.2000000034,304515.0,10519.0,14649.499999999998,0.0,0.0,0.0,978.2000000000011,0.0030572110100833584,1619,1,,,,,Ostrava - mesto,north Moravia,323870,100.0,10673,4.75,5.44,100,18782,18347,1619,F,57,50,5599.0,0.0,4545.0,0.0,157.0,,
50,1338,Monthly Issuance,1993-01-11,,,,,,,3.688663282571912,1998-12-31 00:00:00.000000,592,4791785.700000002,8094.232601351355,2450381.5,2341404.2000000034,304515.0,10519.0,14649.499999999998,0.0,0.0,0.0,978.2000000000011,0.0030572110100833584,1620,0,,,,,Ostrava - mesto,north Moravia,323870,100.0,10673,4.75,5.44,100,18782,18347,1620,M,63,60,5599.0,0.0,4545.0,0.0,157.0,,
51,1909,Monthly Issuance,1993-01-12,,,,,,,4.492783505154639,1998-12-31 00:00:00.000000,486,449733.5999999994,925.3777777777765,232350.99999999997,217382.60000000024,2881.0,62176.0,4990.000000000002,0.0,0.0,0.0,963.600000000001,0.011095457399669512,2319,1,,,,,Ceske Budejovice,south Bohemia,177686,74.8,10045,1.42,1.71,135,6604,6295,2319,F,29,20,2127.0,0.0,43.0,0.0,928.0,,
52,2099,Weekly Issuance,1993-01-12,,,,,,,5.558673469387755,1998-12-31 00:00:00.000000,393,4869950.0,12391.730279898218,2483212.7000000007,2386737.3,0.0,0.0,18565.7,0.0,0.0,0.3,2070.0,0.0038122978675345746,2542,1,405.0,classic,1998-08-31,1.0,Beroun,central Bohemia,75232,41.7,8980,1.95,2.21,111,2824,2813,2542,M,55,50,,,,,,2057.0,
53,2099,Weekly Issuance,1993-01-12,,,,,,,5.558673469387755,1998-12-31 00:00:00.000000,393,4869950.0,12391.730279898218,2483212.7000000007,2386737.3,0.0,0.0,18565.7,0.0,0.0,0.3,2070.0,0.0038122978675345746,2543,0,,,,,Beroun,central Bohemia,75232,41.7,8980,1.95,2.21,111,2824,2813,2543,F,47,40,,,,,,,
54,3760,Monthly Issuance,1993-01-13,,,,,,,5.584615384615384,1998-12-31 00:00:00.000000,391,5438918.499999999,13910.277493606136,2775026.3,2663892.200000003,0.0,0.0,14386.300000000001,0.0,0.0,0.0,978.2000000000011,0.0026450662939700243,4536,1,,,,,Chrudim,east Bohemia,105606,53.0,8254,2.79,3.76,97,2166,2325,4536,M,52,50,2947.8,2947.8,0.0,0.0,0.0,,
55,5270,Monthly Issuance,1993-01-13,6077.0,1993-11-22,79608.0,24.0,3317.0,A,4.724511930585683,1998-12-31 00:00:00.000000,462,6937453.099999995,15016.132251082241,3516396.9,3421056.200000004,0.0,0.0,20568.900000000005,79608.0,0.0,0.0,978.2000000000011,0.002964906530323069,6367,1,,,,,Chrudim,east Bohemia,105606,53.0,8254,2.79,3.76,97,2166,2325,6367,M,29,20,3317.0,0.0,0.0,3317.0,0.0,,313.0
56,1699,Monthly Issuance,1993-01-14,,,,,,,5.388613861386139,1998-12-31 00:00:00.000000,405,727621.0999999992,1796.5953086419731,376953.5000000001,350667.5999999998,232021.0,0.0,5249.499999999999,0.0,370904.0,0.0,963.600000000001,0.007214606613249678,2064,1,,,,,Blansko,south Moravia,107911,50.9,8240,2.53,3.56,99,1850,1903,2064,M,73,70,3482.0,0.0,3482.0,0.0,0.0,,
57,3909,Monthly Issuance,1993-01-14,,,,,,,3.9225225225225224,1998-12-31 00:00:00.000000,556,3733984.800000003,6715.800000000006,1894827.1999999993,1839157.6000000022,546414.0,40722.0,14227.199999999997,0.0,0.0,0.0,963.600000000001,0.0038101922643070173,4715,1,725.0,junior,1996-03-30,1.0,Hl.m. Praha,Prague,1204953,100.0,12541,0.29,0.43,167,85677,99107,4715,F,23,20,9609.0,0.0,8279.0,0.0,617.0,1171.0,
58,2926,Monthly Issuance,1993-01-14,,,,,,,3.516962843295638,1998-12-31 00:00:00.000000,620,1701464.1000000013,2744.296935483873,872857.5,828606.5999999989,90316.0,58156.0,11289.5,0.0,0.0,0.0,963.600000000001,0.006635167912152829,3534,1,,,,,Svitavy,east Bohemia,102609,52.0,8187,4.83,5.45,94,2123,2134,3534,F,28,20,4008.0,0.0,1348.0,0.0,868.0,,
59,1731,Monthly Issuance,1993-01-14,,,,,,,6.3841642228739,1998-12-31 00:00:00.000000,342,658253.3999999991,1924.7175438596464,343822.7999999998,314430.6,176277.0,0.0,5804.800000000002,0.0,337818.0,0.0,963.600000000001,0.008818488442292906,2100,1,,,,,Decin,north Bohemia,133777,84.7,8705,5.75,7.61,116,4650,4859,2100,F,68,60,2631.0,0.0,2631.0,0.0,0.0,,
60,1731,Monthly Issuance,1993-01-14,,,,,,,6.3841642228739,1998-12-31 00:00:00.000000,342,658253.3999999991,1924.7175438596464,343822.7999999998,314430.6,176277.0,0.0,5804.800000000002,0.0,337818.0,0.0,963.600000000001,0.008818488442292906,2101,0,,,,,Decin,north Bohemia,133777,84.7,8705,5.75,7.61,116,4650,4859,2101,M,64,60,2631.0,0.0,2631.0,0.0,0.0,,
61,11265,Monthly Issuance,1993-01-14,7284.0,1993-09-15,52788.0,12.0,4399.0,A,4.507246376811594,1998-12-31 00:00:00.000000,484,1284916.4000000008,2654.785950413225,656153.7999999999,628762.5999999992,33902.0,0.0,6067.800000000001,52788.0,0.0,0.0,963.600000000001,0.004722330573413178,13537,1,,,,,Cesky Krumlov,south Bohemia,58796,51.9,9045,3.13,3.6,124,1845,1879,13845,M,26,20,7512.0,0.0,506.0,4399.0,0.0,,244.0
